Category,Search Name,Cadence,Boolean Query,Manual LinkedIn URL
"Posts","Kyung Hee University - Health Informatics","Twice weekly","(""Kyung Hee University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyung%20Hee%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Tokyo - Drug Discovery","Twice weekly","(""University of Tokyo"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Tokyo%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Tokyo - Health Informatics","Twice weekly","(""University of Tokyo"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Tokyo%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Kyoto University - Drug Discovery","Twice weekly","(""Kyoto University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyoto%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Kyoto University - Health Informatics","Twice weekly","(""Kyoto University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyoto%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Osaka University - Drug Discovery","Twice weekly","(""Osaka University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Osaka%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Osaka University - Health Informatics","Twice weekly","(""Osaka University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Osaka%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Tohoku University - Drug Discovery","Twice weekly","(""Tohoku University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Tohoku%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Tohoku University - Health Informatics","Twice weekly","(""Tohoku University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Tohoku%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Nagoya University - Drug Discovery","Twice weekly","(""Nagoya University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Nagoya%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Nagoya University - Health Informatics","Twice weekly","(""Nagoya University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Nagoya%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Kyushu University - Drug Discovery","Twice weekly","(""Kyushu University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyushu%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Kyushu University - Health Informatics","Twice weekly","(""Kyushu University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Kyushu%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Hokkaido University - Drug Discovery","Twice weekly","(""Hokkaido University"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Hokkaido%20University%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Hokkaido University - Health Informatics","Twice weekly","(""Hokkaido University"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Hokkaido%20University%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Tsukuba - Drug Discovery","Twice weekly","(""University of Tsukuba"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Tsukuba%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","University of Tsukuba - Health Informatics","Twice weekly","(""University of Tsukuba"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22University%20of%20Tsukuba%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Institute of Science Tokyo - Drug Discovery","Twice weekly","(""Institute of Science Tokyo"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Institute%20of%20Science%20Tokyo%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Institute of Science Tokyo - Health Informatics","Twice weekly","(""Institute of Science Tokyo"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Institute%20of%20Science%20Tokyo%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Okinawa Institute of Science and Technology - Drug Discovery","Twice weekly","(""Okinawa Institute of Science and Technology"") AND (""PhD position"" OR ""DPhil"" OR ""PhD studentship"" OR ""doctoral"" OR ""graduate student"") AND (""medicinal chemistry"" OR ""computational chemistry"" OR ""chemical biology"" OR ""drug discovery"" OR ""pharmaceutical sciences"")","https://www.linkedin.com/search/results/content/?keywords=(%22Okinawa%20Institute%20of%20Science%20and%20Technology%22)%20AND%20(%22PhD%20position%22%20OR%20%22DPhil%22%20OR%20%22PhD%20studentship%22%20OR%20%22doctoral%22%20OR%20%22graduate%20student%22)%20AND%20(%22medicinal%20chemistry%22%20OR%20%22computational%20chemistry%22%20OR%20%22chemical%20biology%22%20OR%20%22drug%20discovery%22%20OR%20%22pharmaceutical%20sciences%22)&origin=GLOBAL_SEARCH_HEADER"
"Posts","Okinawa Institute of Science and Technology - Health Informatics","Twice weekly","(""Okinawa Institute of Science and Technology"") AND (""health informatics"" OR ""digital health"" OR ""AI for health"" OR ""health data"" OR ""medical AI"" OR ""biomedical informatics"") AND (""PhD"" OR ""DPhil"" OR ""MSc"" OR ""MPhil"" OR ""doctoral"")","https://www.linkedin.com/search/results/content/?keywords=(%22Okinawa%20Institute%20of%20Science%20and%20Technology%22)%20AND%20(%22health%20informatics%22%20OR%20%22digital%20health%22%20OR%20%22AI%20for%20health%22%20OR%20%22health%20data%22%20OR%20%22medical%20AI%22%20OR%20%22biomedical%20informatics%22)%20AND%20(%22PhD%22%20OR%20%22DPhil%22%20OR%20%22MSc%22%20OR%20%22MPhil%22%20OR%20%22doctoral%22)&origin=GLOBAL_SEARCH_HEADER"
